1,강동복집,서울특별시 강동구 성내동 559,02-483-7335,"안녕하세요. 서울시 강동구에 위치한 강동복집입니다.저희 강동복집은 재료선별 하나에도 정성을 들여 음식을 만들고, 깔끔하고 세련된 실내와 안락한 분위기를 만끽할 수 있어 더욱 특별합니다.감사합니다.",http://cityfood.co.kr/h.php?id=24291,복샤브샤브 복어회 복지리,10:00~22:00,OFF,OFF,,,"37.528571, 127.124338",일식,0
2,국수생각,서울특별시 강동구 길동 364-13 1층,02-478-3838,"안녕하세요. 서울특별시 강동구에 위치한 국수생각을 찾아주셔서 감사드립니다.저희 국수생각은 다양한 메뉴를 제공하는 음식점으로 저희만의 맛을 전해드리고자 노력하고 있습니다.재료선별 하나에도 정성을 들여 늘 엄선된 식재료만을 사용하여 고객 여러분께서 신뢰할 수 있는 음식이 될 수 있도록 하고 있으며, 또한 어머니의 손 맛과도 같은 정갈한 음식 조리로 행복의 맛을 전해드리고 있습니다.또 저렴한 음식값으로 부담 없이 저희 매장에 오실 수 있도록 배려하고 있습니다.최고의 맛으로 최상의 서비스를 드리고자 늘 노력하는 국수생각이 되겠습니다. 감사합니다.",http://cityfood.co.kr/file2/h_0080/39755/,열무땡땡이국수  가락국수  멸치국수,11:00~22:00,OFF,OFF,,,"37.538441, 127.141966",한식,0
3,로프트,서울특별시 서대문구 대신동 50-3 공간9빌딩 6층,02-393-3181,안녕하십니까! 서울특별시 서대문구에 위치해 있는 로프트입니다. 소중한 분들과의 만남을 저희 로프트에서 함께 하신다면 친절한 서비스와 저렴한 가격으로 맛있는 요리를 맛 보실수 있고 최고의 만찬을 즐기실 수 있는 곳입니다. 아늑한 실내 분위기와 품격 높은 서비스로 고객 여러분의 품위를 향상시켜 드리는 저희 로프트에서 편안하고 아름다운 소중한 추억을 만드세요. 최상의 서비스와 최고의 만족으로 보답하겠습니다. 감사합니다. ,http://cityfood.co.kr/h.php?id=28942,로제파스타 스테이크 토마토리조또,12:00~24:00,OFF,OFF,,,"37.563320, 126.943564",양식,0
4,명동칼국수,서울특별시 은평구 대조동 5-10,02-359-5591,안녕하세요 저희 명동칼국수는 서울 은평구에 위치하고 있습니다.저희 명동칼국수는 일반 음식점에서 느낄 수 없는 깊은 맛을 자랑하며 특별한 맛으로 손님여러분을 모시고 있습니다.외지에서도 손님이 많이 찾아 오고 있으며 오시는 분들께 맛있는 먹거리를 제대로 대접해 드리기 위해 노력하고 있습니다.명동칼국수에서 음식의 참맛을 느껴보세요.최고의 맛으로 모시겠습니다. 감사합니다.,http://cityfood.co.kr/h.php?id=27647,칼국수 왕만두 냉면,11:00~21:00,OFF,OFF,,,"37.611647, 126.928513",한식,0
5,더제이케이키친박스 문래점,서울특별시 영등포구 문래동3가 55-20번지 에이스하이테크시티1동 113호,02-2633-0053,"안녕하세요 저희 더제이케이키친박스 문래점은 서울 영등포구에 위치하고 있습니다.남녀노소, 나이불문 누구나 만족할 수 있는 입안에서 살살 녹는 맛을 일품으로 자랑하는 저희 더제이케이키친박스 문래점은 찾아오시는 모든 고객분들 에게 항상 최고의 서비스와 최상의 맛을 선사해 드립니다. 깔끔하고 신선한 느낌의 저희 매장은 손님들께서 깨끗하고 편안한 식사를 하실 수 있도록 최대한의 노력을 기울이고 있으며, 모든 종업원들의 친절서비스는 찾아오시는 모든 분들께 다시 방문하고 싶은 편안함을 선사해 드립니다. ",http://cityfood.co.kr/h.php?id=25726,와인 그라탕 에이드 인생맛집,11:00~22:00,OFF,OFF,,,"37.514728, 126.898472",양식,0
6,깐풍기의전설,서울특별시 중랑구 중화동 311-21,02-435-9118,"저희 ""깐풍기의전설""은 음식을 맛깔스럽게 요리해 푸짐한 양과 고급스러운 맛으로 고객님의 미각을 만족시켜 드립니다.정직한 식재료와 바른 조리법으로 맛을 살리려 노력합니다. 항상 신선하고 연구 개발된 식단으로 여러분을 찾아 뵙겠습니다.언제나 내 가족이 먹는다는 생각으로 정직하고 깨끗하게 정성을 다하는 저희 업소를 찾아주십시오.깐풍기의전설의 자부심을 걸고 최고의 만족을 드릴 수 있도록 노력하겠습니다. 감사합니다.",http://cityfood.co.kr/h.php?id=32961,깐풍치킨 바베큐치킨,16:00~02:00,OFF,ON,,,"37.601679, 127.076997",치킨,0
7,돼지꿈,서울특별시 강북구 인수동 451-84,02-900-7080,반갑습니다. 돼지꿈 홈페이지에 방문해 주신 고객 여러분께 진심으로 감사드립니다.서울 강북구에 위치한 저희 돼지꿈은 삶의 질을 향상시키며 먹거리 문화를 한단계 업그레이드 시키는데 노력하겠습니다.자연이 주는 순수함 그리고 편안함을 그대로 여러분께 행복한 맛의 이야기를 만들어가겠습니다. 고객 여러분께 친절한 미소를 잃지 않는 저희 돼지꿈이 될 것을 약속드립니다.고객님 가정의 평화와 사랑이 넘치길 기원하겠습니다. 감사합니다.,http://cityfood.co.kr/h.php?id=26020,돼지족발 냉채족발,18:00~02:00,OFF,OFF,,,"37.634204, 127.015817",육류,0
8,밥도둑술도둑,서울특별시 구로구 가리봉동 107-14,02-863-6045,"안녕하십니까? 서울 구로구에 위치한 밥도둑술도둑입니다. 저희 밥도둑술도둑은 서비스와 손맛이 살아있는, 한번쯤은 가보고 싶은 식당입니다. 한번 방문하신 고객들께선 반드시 또 한번은 찾아주십니다.오시는 고객 여러분께 보답하고자 늘 최선을 다하는 서비스를 제공하고 있으며, 맛의 진수를 저희 밥도둑술도둑에서 느끼실 수 있도록 항상 노력하고 있습니다. 찾아주시는 고객 분들 건강하시고 모든 일에 행운이 함께 하시길 기원합니다. 감사합니다.",http://cityfood.co.kr/h.php?id=27592,간장게장  자반구이  청국장,10:00~22:00,OFF,OFF,,,"37.484136, 126.889287",일식,0
9,기똥찬수제햄버거앤컵밥,서울특별시 동작구 상도동 194-3,02-812-2296,안녕하십니까. 서울특별시 동작구에 위치한 저희 기똥찬수제햄버거앤컵밥을 방문해 주신 여러분께 감사드립니다. 저희 기똥찬수제햄버거앤컵밥은 찾아주시는 고객분들께 저희 기똥찬수제햄버거앤컵밥만의 맛을 전해드리고자 노력하고 있습니다. ,http://cityfood.co.kr/h.php?id=33342,치킨마요컵밥  불닭컵밥,12:00~23:00,OFF,OFF,,,"37.502195, 126.936841",분식,0
10,82길,서울특별시 성동구 옥수동 296-23,02-2298-5777,"안녕하세요 저희 82길은 서울특별시 성동구에 위치하고 있습니다.남녀노소, 나이불문 누구나 만족할 수 있는 입안에서 살살 녹는 맛을 일품으로 자랑하는 저희 82길은 찾아오시는 모든 고객분들 에게 항상 최고의 서비스와 최상의 맛을 선사해 드립니다",http://cityfood.co.kr/file2/h_0085/42489/index.html,차돌숙주볶음 연어,18:00~02:00,OFF,OFF,,,"37.543985, 127.015833",중식,0
11,가온오리,경기도 고양시 일산동구 문봉동 203-12,031-977-7796,안녕하십니까! 경기도 고양시에 위치해 있는 가온오리입니다. 소중한 분들과의 만남을 저희 가온오리에서 함께 하신다면 친절한 서비스와 저렴한 가격으로 맛있는 요리를 맛 보실수 있고 최고의 만찬을 즐기실 수 있는 곳입니다. 아늑한 실내 분위기와 품격 높은 서비스로 고객 여러분의 품위를 향상시켜 드리는 저희 가온오리에서 편안하고 아름다운 소중한 추억을 만드세요. 최상의 서비스와 최고의 만족으로 보답하겠습니다. 감사합니다. ,http://cityfood.co.kr/h.php?id=33544,오리로스  오리주물럭,09:30~22:30,OFF,OFF,,,"37.706707, 126.812032",육류,0
